id,comm_eff,psych_safety,stai6,trust_ai,time,group,role,trust_ai_pre
A01,3.0,3.0,4.5,4.0,pre,A,在學實習生,4.0
A02,3.8,4.142857142857143,3.0,1.0,pre,A,在學實習生,1.0
A03,3.0,3.7142857142857144,2.6666666666666665,2.8,pre,A,職場新鮮人,2.8
A04,4.0,3.7142857142857144,2.5,3.6,pre,A,職場新鮮人,3.6
A05,3.0,3.0,3.0,3.0,pre,A,在學實習生,3.0
A06,4.2,3.7142857142857144,1.5,3.6,pre,A,職場新鮮人,3.6
A07,3.0,3.0,3.0,3.0,pre,A,職場新鮮人（入職 1 年以內）,3.0
A08,3.6,2.2857142857142856,4.0,4.0,pre,A,職場新鮮人,4.0
A09,4.4,3.4285714285714284,2.6666666666666665,4.2,pre,A,職場新鮮人,4.2
A10,4.4,4.428571428571429,3.0,5.0,pre,A,職場新鮮人,5.0
A11,5.0,4.428571428571429,3.1666666666666665,5.0,pre,A,職場新鮮人,5.0
A12,4.0,4.0,2.0,4.2,pre,A,職場新鮮人,4.2
A13,3.2,4.0,1.6666666666666667,2.8,pre,A,職場新鮮人,2.8
A15,2.8,3.7142857142857144,4.166666666666667,3.2,pre,A,職場新鮮人,3.2
A16,5.0,5.0,2.5,4.0,pre,A,在學實習生,4.0
A17,3.8,3.0,3.5,3.2,pre,A,在學實習生,3.2
A18,2.8,3.5714285714285716,3.3333333333333335,4.4,pre,A,在學實習生,4.4
A19,3.2,3.5714285714285716,2.8333333333333335,3.0,pre,A,在學實習生,3.0
A20,3.4,3.2857142857142856,2.8333333333333335,3.6,pre,A,在學實習生,3.6
A21,3.8,3.0,3.0,3.0,pre,A,在學實習生,3.0
A22,2.4,4.428571428571429,2.1666666666666665,3.0,pre,A,在學實習生,3.0
A23,2.8,2.7142857142857144,2.6666666666666665,2.8,pre,A,職場新鮮人,2.8
A24,3.2,4.0,2.8333333333333335,3.8,pre,A,在學實習生,3.8
A25,3.8,3.7142857142857144,2.5,3.0,pre,A,職場新鮮人,3.0
A26,3.6,3.857142857142857,2.0,2.6,pre,A,職場新鮮人,2.6
A27,2.6,3.857142857142857,3.6666666666666665,3.2,pre,A,在學中，且目前於企業實習(工讀),3.2
A28,3.2,3.4285714285714284,3.6666666666666665,4.2,pre,A,職場新鮮人（入職 1 年以內）,4.2
A29,5.0,4.428571428571429,1.0,5.0,pre,A,在學中，且目前於企業實習(工讀),5.0
A30,2.2,3.2857142857142856,3.1666666666666665,3.6,pre,A,在學中，且目前於企業實習(工讀),3.6
A31,3.0,3.0,3.1666666666666665,3.0,pre,A,在學中，且目前於企業實習(工讀),3.0
A32,3.4,3.2857142857142856,3.6666666666666665,2.8,pre,A,職場新鮮人（入職 1 年以內）,2.8
A33,3.6,2.857142857142857,4.166666666666667,3.4,pre,A,職場新鮮人（入職 1 年以內）,3.4
A35,3.8,3.0,2.8333333333333335,3.8,pre,A,在學中，且目前於企業實習(工讀),3.8
A36,3.4,3.7142857142857144,3.3333333333333335,1.2,pre,A,在學中，且目前於企業實習(工讀),1.2
A37,3.6,2.857142857142857,3.5,4.2,pre,A,職場新鮮人（入職 1 年以內）,4.2
A38,2.2,4.142857142857143,3.3333333333333335,4.0,pre,A,職場新鮮人（入職 1 年以內）,4.0
A39,2.6,3.0,2.5,2.4,pre,A,在學中，且目前於企業實習(工讀),2.4
A40,2.2,3.0,3.8333333333333335,3.6,pre,A,職場新鮮人（入職 1 年以內）,3.6
A41,3.6,3.4285714285714284,2.8333333333333335,4.0,pre,A,職場新鮮人（入職 1 年以內）,4.0
A42,4.0,4.142857142857143,2.0,3.4,pre,A,職場新鮮人（入職 1 年以內）,3.4
A43,2.2,4.714285714285714,3.3333333333333335,3.4,pre,A,職場新鮮人（入職 1 年以內）,3.4
A44,3.2,3.0,1.0,4.2,pre,A,職場新鮮人（入職 1 年以內）,4.2
A46,1.8,3.142857142857143,3.0,3.4,pre,A,在學中，且目前於企業實習(工讀),3.4
A47,3.0,3.0,3.0,3.0,pre,A,職場新鮮人（入職 1 年以內）,3.0
A48,4.0,3.2857142857142856,2.0,2.8,pre,A,職場新鮮人（入職 1 年以內）,2.8
