id,comm_eff,psych_safety,stai6,trust_ai,time,group,role,trust_ai_pre
A01,3.0,3.0,4.5,4.0,pre,A,在學實習生,4.0
A02,3.8,4.142857142857143,3.0,1.0,pre,A,在學實習生,1.0
A03,3.0,3.7142857142857144,2.6666666666666665,2.8,pre,A,職場新鮮人,2.8
A04,4.0,3.7142857142857144,2.5,3.6,pre,A,職場新鮮人,3.6
A05,3.0,3.0,3.0,3.0,pre,A,在學實習生,3.0
A06,4.2,3.7142857142857144,1.5,3.6,pre,A,職場新鮮人,3.6
A07,3.4,4.0,2.8333333333333335,3.8,pre,A,X(Batch 2有相同實驗編號補上),3.8
A08,3.6,2.2857142857142856,4.0,4.0,pre,A,職場新鮮人,4.0
A09,4.4,3.4285714285714284,2.6666666666666665,4.2,pre,A,職場新鮮人,4.2
A10,4.4,4.428571428571429,3.0,5.0,pre,A,職場新鮮人,5.0
A11,5.0,4.428571428571429,3.1666666666666665,5.0,pre,A,職場新鮮人,5.0
A12,4.0,4.0,2.0,4.2,pre,A,職場新鮮人,4.2
A13,3.2,4.0,1.6666666666666667,2.8,pre,A,職場新鮮人,2.8
A14,4.0,4.0,2.6666666666666665,4.0,pre,A,X(資格不符),4.0
A15,2.8,3.7142857142857144,4.166666666666667,3.2,pre,A,職場新鮮人,3.2
A16,5.0,5.0,2.5,4.0,pre,A,在學實習生,4.0
A17,3.8,3.0,3.5,3.2,pre,A,在學實習生,3.2
A18,2.8,3.5714285714285716,3.3333333333333335,4.4,pre,A,在學實習生,4.4
A19,3.2,3.5714285714285716,2.8333333333333335,3.0,pre,A,在學實習生,3.0
A20,3.4,3.2857142857142856,2.8333333333333335,3.6,pre,A,在學實習生,3.6
A21,3.8,3.0,3.0,3.0,pre,A,在學實習生,3.0
A22,2.4,4.428571428571429,2.1666666666666665,3.0,pre,A,在學實習生,3.0
A23,2.8,2.7142857142857144,2.6666666666666665,2.8,pre,A,職場新鮮人,2.8
A24,3.2,4.0,2.8333333333333335,3.8,pre,A,在學實習生,3.8
A25,3.8,3.7142857142857144,2.5,3.0,pre,A,職場新鮮人,3.0
A26,3.6,3.857142857142857,2.0,2.6,pre,A,職場新鮮人,2.6
B01,3.4,3.7142857142857144,3.0,3.0,pre,B,在學實習生,3.0
B02,2.4,3.4285714285714284,3.6666666666666665,3.8,pre,B,在學實習生,3.8
B03,3.8,3.5714285714285716,2.8333333333333335,3.6,pre,B,在學實習生,3.6
B04,2.6,3.2857142857142856,4.5,3.2,pre,B,職場新鮮人,3.2
B05,2.6,3.0,3.5,3.6,pre,B,職場新鮮人,3.6
B06,4.6,4.571428571428571,1.3333333333333333,4.4,pre,B,職場新鮮人,4.4
B07,2.6,2.7142857142857144,3.1666666666666665,4.0,pre,B,在學實習生,4.0
B08,4.2,4.571428571428571,1.1666666666666667,4.6,pre,B,職場新鮮人,4.6
B09,2.8,3.5714285714285716,4.333333333333333,4.2,pre,B,職場新鮮人,4.2
B10,2.6,3.5714285714285716,2.5,3.8,pre,B,職場新鮮人,3.8
B11,2.2,3.857142857142857,4.833333333333333,2.8,pre,B,X(資格不符),2.8
B12,4.0,3.2857142857142856,2.1666666666666665,3.6,pre,B,職場新鮮人,3.6
B13,3.4,3.2857142857142856,3.6666666666666665,3.6,pre,B,X(Batch 2有相同實驗編號補上),3.6
B14,2.2,3.0,3.1666666666666665,3.0,pre,B,職場新鮮人,3.0
B15,4.0,1.5714285714285714,4.666666666666667,1.0,pre,B,X(資格不符),1.0
B16,3.8,3.4285714285714284,2.6666666666666665,3.8,pre,B,職場新鮮人,3.8
B17,3.2,3.5714285714285716,3.6666666666666665,2.6,pre,B,在學實習生,2.6
B18,3.0,3.142857142857143,2.3333333333333335,3.2,pre,B,職場新鮮人,3.2
B19,2.2,3.5714285714285716,4.333333333333333,2.0,pre,B,職場新鮮人,2.0
B20,2.4,2.857142857142857,3.3333333333333335,2.4,pre,B,X(參與率過低),2.4
B21,3.6,3.2857142857142856,2.8333333333333335,3.0,pre,B,在學實習生,3.0
B22,,,,,pre,B,X(Batch 2有相同實驗編號補上),
B23,,,,,pre,B,X(Batch 2有相同實驗編號補上),
B24,3.2,4.0,2.6666666666666665,2.4,pre,B,在學實習生,2.4
