outcome,model_type,term,coef,se,pvalue,ci_low,ci_high,optimizer,n_obs,n_subjects,llf,aic,bic
stai6,MixedLM,Intercept,2.908602150537629,0.1388990619944585,2.2951620920455287e-97,2.636364991542094,3.180839309533164,lbfgs,187,62,-193.35984072403886,402.7196814480777,428.5685503829144
stai6,MixedLM,"C(group, Treatment(reference='A'))[T.B]",0.22580645161291282,0.19643293727346461,0.25033562139935306,-0.15919503082049338,0.6108079340463191,lbfgs,187,62,-193.35984072403886,402.7196814480777,428.5685503829144
stai6,MixedLM,"C(time, Treatment(reference='pre'))[T.post]",0.026419155944782537,0.13486332152658842,0.8446917381386331,-0.23790809708277613,0.2907464089723412,lbfgs,187,62,-193.35984072403886,402.7196814480777,428.5685503829144
stai6,MixedLM,"C(time, Treatment(reference='pre'))[T.delay]",-0.0913978494623667,0.13572135769141958,0.5006783814737417,-0.3574068224704273,0.17461112354569394,lbfgs,187,62,-193.35984072403886,402.7196814480777,428.5685503829144
stai6,MixedLM,"C(group, Treatment(reference='A'))[T.B]:C(time, Treatment(reference='pre'))[T.post]",-0.24147291938564514,0.19133322353105917,0.20692924451351757,-0.6164791465524727,0.13353330778118244,lbfgs,187,62,-193.35984072403886,402.7196814480777,428.5685503829144
stai6,MixedLM,"C(group, Treatment(reference='A'))[T.B]:C(time, Treatment(reference='pre'))[T.delay]",0.4731182795698913,0.19193898475089566,0.013703580102322154,0.09692478222895312,0.8493117769108294,lbfgs,187,62,-193.35984072403886,402.7196814480777,428.5685503829144
stai6,MixedLM,Group Var,1.0947501515566798,0.3138719978744007,0.00048685326581909263,0.47957233996722204,1.7099279631461375,lbfgs,187,62,-193.35984072403886,402.7196814480777,428.5685503829144
psych_safety,MixedLM,Intercept,3.5069124423963145,0.11631218608302167,1.0451405914646085e-199,3.2789447467104713,3.7348801380821577,lbfgs,187,62,-161.1193310533459,338.2386621066918,364.08753104152845
psych_safety,MixedLM,"C(group, Treatment(reference='A'))[T.B]",-0.013824884792625499,0.16449027102787245,0.9330192035905611,-0.3362198918144878,0.3085701222292368,lbfgs,187,62,-161.1193310533459,338.2386621066918,364.08753104152845
psych_safety,MixedLM,"C(time, Treatment(reference='pre'))[T.post]",0.04958883486231156,0.11405566276378955,0.6637239448914265,-0.1739561563875621,0.27313382611218523,lbfgs,187,62,-161.1193310533459,338.2386621066918,364.08753104152845
psych_safety,MixedLM,"C(time, Treatment(reference='pre'))[T.delay]",0.33717357910906204,0.1147825435179909,0.00330871496435845,0.11220392775989843,0.5621432304582257,lbfgs,187,62,-161.1193310533459,338.2386621066918,364.08753104152845
psych_safety,MixedLM,"C(group, Treatment(reference='A'))[T.B]:C(time, Treatment(reference='pre'))[T.post]",-0.15557961827245004,0.16181386376002155,0.33631452768906045,-0.47272896344136334,0.16156972689646326,lbfgs,187,62,-161.1193310533459,338.2386621066918,364.08753104152845
psych_safety,MixedLM,"C(group, Treatment(reference='A'))[T.B]:C(time, Treatment(reference='pre'))[T.delay]",-0.2442396313364047,0.16232702976682284,0.1324231708499448,-0.5623947633967388,0.07391550072392938,lbfgs,187,62,-161.1193310533459,338.2386621066918,364.08753104152845
psych_safety,MixedLM,Group Var,1.053660943973085,0.30483701576821837,0.0005472938360550367,0.45619137191270853,1.6511305160334615,lbfgs,187,62,-161.1193310533459,338.2386621066918,364.08753104152845
comm_eff,MixedLM,Intercept,3.1999999999999917,0.1275661134845744,7.244733345699187e-139,2.9499750119224766,3.450024988077507,powell,187,62,-180.20588590417475,376.4117718083495,402.2606407431862
comm_eff,MixedLM,"C(group, Treatment(reference='A'))[T.B]",-0.006451612903220617,0.18040572778911054,0.9714723840373353,-0.36004034197461404,0.34713711616817283,powell,187,62,-180.20588590417475,376.4117718083495,402.2606407431862
comm_eff,MixedLM,"C(time, Treatment(reference='pre'))[T.post]",0.6003850399020609,0.12752450295201279,2.501621801949207e-06,0.3504416069697441,0.8503284728343778,powell,187,62,-180.20588590417475,376.4117718083495,402.2606407431862
comm_eff,MixedLM,"C(time, Treatment(reference='pre'))[T.delay]",0.6709677419354924,0.1283378973801218,1.7122927106350546e-07,0.4194300852188563,0.9225053986521284,powell,187,62,-180.20588590417475,376.4117718083495,402.2606407431862
comm_eff,MixedLM,"C(group, Treatment(reference='A'))[T.B]:C(time, Treatment(reference='pre'))[T.post]",-0.355223749579477,0.180922952543641,0.0495999547690609,-0.7098262205416628,-0.0006212786172912765,powell,187,62,-180.20588590417475,376.4117718083495,402.2606407431862
comm_eff,MixedLM,"C(group, Treatment(reference='A'))[T.B]:C(time, Treatment(reference='pre'))[T.delay]",-0.2838709677419409,0.18149719504141468,0.11780546468520657,-0.6395989333181553,0.07185699783427352,powell,187,62,-180.20588590417475,376.4117718083495,402.2606407431862
comm_eff,MixedLM,Group Var,0.9760175823972755,0.2873965206148188,0.0006836184728434428,0.4127307527101075,1.5393044120844435,powell,187,62,-180.20588590417475,376.4117718083495,402.2606407431862
